"Código","Descripción","UMV","CUMV","UMB","Pvp","Pvp C/I"
"PR268","ARROZ CON TORTILLA 12X500G","Bolsa","1.00","Bolsa","2.20","2.42"
"PR029","BERENJENA REBOZADA RODAJAS 5X1","Bolsa","1.00","Kgr","3.36","3.70"
"PR311","BOCADITO DE CHORIZO 4X1","Kgr","1.00","Kgr","3.85","4.24"
"PR241","BOCADITO DE QUESO 12X500gr","Bolsa","1.00","Bolsa","1.97","2.17"
"PR240","BOCADITO PATATA 8X500gr","Bolsa","1.00","Bolsa","0.99","1.09"
"PR255","BOCADITOS DE VERDURA 14X300gr","Bolsa","1.00","Bolsa","1.19","1.31"
"PR266","BUÑUELOS BACALAO 10X400G","Bolsa","1.00","Bolsa","2.25","2.48"
"PR264","CALAMAR ROMANA 10X400","Bolsa","1.00","Bolsa","2.20","2.42"
"PR262","CANELON BECHAMEL 18X300gr","Estuche","1.00","Estuche","0.98","1.08"
"PR281","CHANQUETE ENHAR. 6X500","Bolsa","0.50","Kgr","3.75","4.13"
"PR335","CHURROS PORRAS PREF. 8X320GRS","Bolsa","1.00","Bolsa","1.90","2.09"
"PR334","CROQ JAMON IBERICO 16X400+100GRM GRATIS","Bolsa","1.00","Bolsa","1.60","1.76"
"PR228","CROQUETA CASERA EXTRA 4X1 HI","Bolsa","1.00","Kgr","4.55","5.01"
"PR312","CROQUETA COCIDO 4X1","Kgr","1.00","Kgr","5.85","6.44"
"PR035","CROQUETAS CASERA JAMON GR 6x1","Bolsa","1.00","Kgr","1.79","1.97"
"PR158","CROQUETAS CASERAS JAMON 8X500","Bolsa","1.00","Bolsa","1.36","1.50"
"PR046","CROQUETAS CASERAS POLLO GR 6x1","Bolsa","1.00","Kgr","1.79","1.97"
"PR333","CROQUETAS JAMON IBERICO 10X400","Bolsa","1.00","Bolsa","1.55","1.71"
"PR271","EMPANADILLAS 3X1","Bolsa","1.00","Kgr","2.45","2.70"
"PR293","EMPANADILLAS MINI 10X330","Bolsa","1.00","Bolsa","0.99","1.09"
"PR269","FINGERS 4X1","Bolsa","1.00","Kgr","7.54","8.29"
"PR303","GAMBA REBOZADA GEDIS  12X400","Bolsa","1.00","Bolsa","3.75","4.13"
"PR288","LASAÑA BECHAMEL 15X300 GRS","Estuche","1.00","Estuche","1.40","1.54"
"PR261","LASAÑA BOLOGNESA 18X300gr","Estuche","1.00","Estuche","0.84","0.92"
"PR246","MAHESITO JAMON 8bX500gr","Bolsa","1.00","Bolsa","1.59","1.75"
"PR272","MEJILLON RELLENO TIGRE 1X3","Caja","3.00","Kgr","13.65","15.02"
"PR305","MEZCLA DE SETAS 5X1","Kgr","1.00","Kgr","4.75","4.94"
"PR291","MUSLITOS DE CANGREJO 20X250","Estuche","1.00","Estuche","1.10","1.21"
"PR290","MUSLITOS DE CANGREJO REBOZADO 10X1","Kgr","1.00","Kgr","3.59","3.95"
"PR113","NUGGETS POLLO 6X1","Bolsa","1.00","Kgr","2.48","2.73"
"PR318","PALITOS DE MERLUZA 15X400","Bolsa","1.00","Bolsa","1.25","1.38"
"PR213","PEZ PLATINO ENHARINADO 4X500","Bolsa","1.00","Bolsa","3.75","4.13"
"PR309","PISTO (GUARNICION DE VERDURAS) 6X1","Kgr","1.00","Kgr","2.40","2.64"
"PR297","PIZZA MANTUA ATUN Y CEBOLLA 5X370","Unid","1.00","Unid","1.96","2.16"
"PR295","PIZZA MANTUA CAPRICCIOSA 5X370","Unid","1.00","Unid","1.96","2.16"
"PR296","PIZZA MANTUA JAMON Y QUESO 5X340","Unid","1.00","Unid","1.96","2.16"
"PR329","PREPARADO CAZUELA SIN MEJILLON 5X1","Bolsa","1.00","Kgr","4.49","4.94"
"PR302","RELLENO FAJITA 12X300","Bolsa","1.00","Bolsa","1.65","1.82"
"PR292","REVOLTILLO AJETES 12X500","Bolsa","1.00","Bolsa","2.35","2.59"
"PR258","REVUELTO AJETES ESPARRAGOS GAMBAS","Bolsa","1.00","Kgr","4.67","5.13"
"PR242","TEMPURA DE VERDURAS 12X400gr","Bolsa","1.00","Bolsa","1.64","1.80"
"PR325","TEMPURA VERDURAS 5X1","Bolsa","1.00","Bolsa","4.25","4.68"
"PR026","TORTILLA CAMARONES 4X1 TERRANOVA","Bolsa","1.00","Kgr","4.79","5.27"
"PR230","TORTILLA PATATAS C/C 10X700G maheso","Unid","1.00","Unid","1.78","1.96"
"PR259","TORTILLA PATATAS C/C 12X750g PLANCHA","Unid","1.00","Unid","2.15","2.37"
"PR279","TORTILLA PATATAS S/C 10X700G maheso","Unid","1.00","Unid","1.78","1.96"
"RE063","BOLO DE CANELA E ERVA DOCE 1.500KG","Unid","1.00","Unid","0.00","0.00"
"RE049","TARTA DDC BOLO ALENTEJANO 1.600KG","Unid","1.00","Unid","13.85","15.24"
"RE046","TARTA DDC BOLO BRIGADEIRO 1.950KG","Unid","1.00","Unid","13.89","15.28"
"RE048","TARTA DDC BOLO DE NOZ E CARAMELO 1.600KG","Unid","1.00","Unid","13.85","15.24"
"RE043","TARTA DDC MONTANHA DOURADA 1.600KG","Unid","1.00","Unid","14.16","15.58"
"RE051","TARTA DDC SEMIFRIO DE CARAMELO 1.500KG","Unid","1.00","Unid","13.85","15.24"
"RE045","TARTA DDC TIRAMISSU 1.500KG","Unid","1.00","Unid","12.99","14.29"
"RE032","TARTA SELVA NEGRA 10-12R","Unid","1.00","Unid","8.60","9.46"
"HE003","BOMBON ALMENDRADO 6X4UNIX120ML","Estuche","1.00","Estuche","1.88","2.07"
"HE004","BOMBON BLANCO ALMENDRADO 6X4UNIX120ML","Estuche","1.00","Estuche","2.10","2.31"
"HI001","CUBITOS MACIZOS 5X1","Caja","1.00","Caja","3.00","3.30"
"HI003","CUBITOS MACIZOS BOLSA","Bolsa","1.00","Bolsa","0.90","0.99"
